"product_name","description","image_link","price","rating","store_name"
"Samsung Galaxy A02s 4/64GB 3/32GB Garansi SEIN Hitam Biru Bukan A20s","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/16/8784adc1-f95c-45fe-90f9-f6b50acb9416.jpg.webp?ect=4g","Rp1.564.000",5,"Distributor Ponsel"
"Xiaomi Poco X3 NFC 6/64 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/10/29/2608727/2608727_f2a9d5c8-b137-481c-8ab8-4bbf44d4f4a9_800_800.webp?ect=4g","Rp2.843.000",5,"Gudang-HP"
"OPPO A39 3/32 GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/20/36939558-cdbe-450a-a21a-d2c1a1a38850.jpg.webp?ect=4g","Rp1.039.000",5,"Zhongkai Jianba"
"Xiaomi Redmi Note 2 2/16GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/4/0e1b4483-10be-4722-9cc9-758d5a275663.jpg.webp?ect=4g","Rp600.000",5,"Fortune Ponsel"
"Xiaomi Redmi 4X 4/64 GB","Jakarta Selatan","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/21/b7bc2381-104f-404d-b237-3c628ac922a1.png.webp?ect=4g","Rp998.000",5,"Hongmi cell"
"Iphone 11 Pro 64gb second fullset mulus terawat - Grey","Jakarta Utara","https://images.tokopedia.net/img/cache/200-square/product-1/2020/8/13/5158575/5158575_3b08a162-389f-42fe-87c1-2a2f0d8aa6d0_1080_1080.webp?ect=4g","Rp10.298.000",5,"excelappleshop"
"Xiaomi Redmi 4x 4/64GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/18/b68e77ae-0298-45e3-8f3d-f122b3204717.jpg.webp?ect=4g","Rp998.000",5,"Fortune Ponsel"
"OPPO F5 4/32 GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/20/314f8ad3-d565-4a5b-9e1d-b9b4b0a327c2.jpg.webp?ect=4g","Rp1.185.000",5,"Zhongkai Jianba"
"Apple iPhone 12 Pro 128GB 256GB 512GB 128 256 512 GB Resmi Tam iBox - 128GB","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/19/083f9649-46e3-435a-a328-03b2b5dc9a77.jpg.webp?ect=4g","Rp17.400.000",5,"chocoapple"
"Xiaomi Redmi 2 1/8 GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/2da13d54-a296-48d7-9e2a-1ac716f80693.jpg.webp?ect=4g","Rp398.000",5,"Zhufu jian"
"OPPO F9 6 / 64GB","Jakarta Selatan","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/30/387fab9b-e016-42cc-8580-0f38f65cf4ec.jpg.webp?ect=4g","Rp1.550.000",5,"Hongmi cell"
"Apple iPhone 12 Pro Max Promax 128GB 256GB 512GB 128 256 512 Tam iBox - 128GB","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/19/ab5e06ae-98a0-4c50-80e4-0282e3774526.jpg.webp?ect=4g","Rp19.170.000",5,"chocoapple"
"Infinix Smart 5 3/64 RAM 3GB ROM 64GB GARANSI RESMI","Bekasi","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/14/adeb7170-fea8-4515-85bc-dd1606b7af1e.jpg.webp?ect=4g","Rp1.315.000",5,"Shadow Gold"
"Samsung Galaxy A51 8/128 GB Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/4/3/2608727/2608727_d0cf85da-5b73-486b-95cd-3671d14a1938_800_800.webp?ect=4g","Rp3.615.000",5,"Gudang-HP"
"Advan Nasa Plus 2/16 Ram 2gb Internal 16gb Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/14/eeb8f1f3-e64d-49a9-87ee-6cc21ee05508.png.webp?ect=4g","Rp749.000",5,"Kreasindo Online"
"iPhone 128GB 256GB 512GB 12 Pro Max Graphite Blue Gold 128 256 512","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/14/fc9fc2ca-e8fd-48b8-a1b9-692c39723b03.jpg.webp?ect=4g","Rp17.990.000",5,"Putra Group"
"Xiaomi Redmi 9C 3/32 GB - Garansi Resmi Xiaomi Indonesia","Jakarta Utara","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/9/23/a4ee6622-d3dd-49f6-ba05-dbbcc468f709.jpg.webp?ect=4g","Rp1.375.000",5,"Universe Store"
"Iphone XR 64GB Garansi Resmi Ibox / TAM","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/10/08baa3ee-6eae-4e46-ae97-dc5073db8370.jpg.webp?ect=4g","Rp7.285.000",5,"LJS OFFICIAL"
"Samsung Galaxy A02 3/32 Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/2/d89a4b60-bbc4-4c78-ba92-5c99a714dd24.jpg.webp?ect=4g","Rp1.364.000",5,"PRISMA ROXY"
"NOKIA 5310 2020 GARANSI RESMI TAM","Jakarta Selatan","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/17/759289f4-f684-4cdc-aeda-6abcf11dcdbd.jpg.webp?ect=4g","Rp527.000",5,"murahmeriah shop"
"Xiaomi Redmi 9C 3/32GB - 4/64GB Garansi Resmi Xiaomi Redmi 9 C 32 GB 6","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/8/ab3acf40-b50b-4b10-9a6d-d13b5202ba29.jpg.webp?ect=4g","Rp1.385.000",5,"Distributor Ponsel"
